詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
4281,主詞目,治枵,tī-iau,飲食行為,4281(1),,,,,,,,治枵,,,1. (動詞) 充飢、果腹。填飽饑餓的肚子，常用於開玩笑。,1. 動詞,1. 恁遮有啥物好食的通治枵？ (Lín tsia ū siánn-mih hó-tsia̍h--ê thang tī-iau?),1. 你們這邊有什麼好吃的可以充飢？,1. 4281-1-1,1. 止枵/止飢/掠枵,,,
4282,主詞目,油洗洗,iû-sé-sé/iû-sué-sué,"生活狀況,錢財資產,境況、狀態-擬人",4282(1),,,,,,,,,,,1. (形容詞) 形容人油水很多，即外快很多的意思。,1. 形容詞,1. 伊趁甲油洗洗。 (I thàn kah iû-sé-sé.),1. 他賺得很多。,1. 4282-1-1,,,,
4283,主詞目,油炸粿,iû-tsia̍h-kué/iû-tsia̍h-ké,食物、飲料、煙酒,4283(1),,,,,,,,油炸粿/油炸粿/油炸粿,油條,,1. (名詞) 油條。用高筋麵粉加上發粉、鹽，和好之後，再把麵條切成小條，將兩個小條疊壓拉長之後放入油鍋炸。可直接食用、或拿來包在燒餅裡面。,1. 名詞,1. 食杏仁茶配油炸粿。 (Tsia̍h hīng-jîn-tê phuè iû-tsia̍h-kué.),1. 喝杏仁茶配油條。,1. 4283-1-1,,,,
4284,主詞目,法師,huat-su,神職、神巫、信徒,4284(1),,,,,,,,,,,"1. (名詞) 道士。精通道法，可傳授或為人進行法事的道士。
2. (名詞) 出家人。精通佛法，善說佛法並致力修行傳法的出家人。","1. 名詞
2. 名詞",,,,,,,
4285,主詞目,沿海,iân-hái,"地理,自然現象",4285(1),,,,,,,,,,,1. (名詞) 靠近海邊的地區。,1. 名詞,,,,1. 海口,,1. 海邊,1. 內陸
4286,主詞目,治病,tī-pēnn/tī-pīnn,醫療保健,4286(1),,,,,,,,,,,1. (動詞) 醫治、醫療。治療疾病，使恢復健康。,1. 動詞,"1. 你愛緊去治病，才袂過人。 (Lí ài kín khì tī-pēnn, tsiah bē kuè--lâng.)",1. 你要快去治療，才不會傳染給別人。,1. 4286-1-1,1. 治/治療/醫治,,1. 醫療,
4287,主詞目,油紙,iû-tsuá,生活用品,4287(1),,,,,,,,,,,1. (名詞) 經桐油浸泡的紙，具有防水功能。高雄美濃地區用來製造紙雨傘，很出名。,1. 名詞,,,,,,,
4288,主詞目,法術,huat-su̍t,相關器具、活動,4288(1),,,,,,,,,,,1. (名詞) 泛指江湖術士的奇門遁甲、道士的符籙咒秘等術。,1. 名詞,,,,,,,
4289,主詞目,油魚,iû-hî/iû-hû,"魚蝦海獸,食物、飲料、煙酒",4289(1),,,,,,,,,,,1. (名詞) 薔薇帶鰆。魚類。體型長而扁，背部及腹部的輪廓則略成弧形，因為油脂多，所以一般人多稱此種魚類為油魚，魚卵在加工後製成油魚子則是屏東東港地區的三寶(黑鮪魚、櫻花蝦、油魚子)之一。,1. 名詞,,,,,,,
4290,主詞目,法場,huat-tiûnn,服務業及其他,4290(1),,,,,,,,,刣人埔,,1. (名詞) 執行死刑的場地。,1. 名詞,,,,,,,
4291,主詞目,油筒仔,iû-tâng-á,"生活用品,飲食物具",4291(1),,,,,,,,,,,1. (名詞) 在廚房中用來裝油的罐子。,1. 名詞,,,,,,,
4292,主詞目,油菜,iû-tshài,"蔬果作物,食物、飲料、煙酒",4292(1),,,,,,,,,,,1. (名詞) 草本植物。根際葉大，呈倒卵形，邊緣有缺刻。夏季開黃花，果實為長角，圓柱形，種子可榨油，供食用或工業用。嫩葉部分可以作蔬菜。,1. 名詞,,,,,,,
4293,主詞目,油飯,iû-pn̄g,食物、飲料、煙酒,4293(1),,,,,,,,,,,1. (名詞) 用糯米做成的一種乾飯，把糯米蒸熟，再攪拌蝦米、肉絲、豬油、香菇、油蔥等配料。一般是在年節、小孩彌月來備辦請客食用，目前一般傳統市場經常買得到，是很受歡迎的一種小吃。,1. 名詞,,,,1. 秫米飯,,,
4294,主詞目,河溪,hô-khe/hô-khue,天文,4294(1),,,,,,,,,,,1. (名詞) 銀河。在天空中相連如帶的星群。,1. 名詞,,,,,,,
4295,主詞目,油滓,iû-tái,廢棄物,4295(1),,,,,,,,,,,1. (名詞) 油渣。沉積在油的底部的渣滓。,1. 名詞,,,,,,1. 油渣,
4296,主詞目,欣羨,him-siān,心理活動,4296(1),,,,,,,,欣羨,欣慕,,1. (動詞) 羨慕、歆羨。,1. 動詞,"1. 伊定定出國，予人真欣羨。 (I tiānn-tiānn tshut-kok, hōo lâng tsin him-siān.)",1. 他常常出國，讓人很羨慕。,1. 4296-1-1,,,,
4297,主詞目,治罪,tī-tsuē,法律,4297(1),,,,,,,,,,,1. (動詞) 依據法律，給犯罪的人判處應有的懲罰。,1. 動詞,,,,,,,
4298,主詞目,沿路,iân-lōo,道路、橋梁,4298(1),,,,,,,,,路裡,,1. (形容詞) 一路上。,1. 形容詞,1. 沿路的風景袂䆀。 (Iân-lōo ê hong-kíng bē-bái.),1. 沿路的風景不錯。,1. 4298-1-1,,,,
4299,主詞目,沓滴,ta̍p-tih,"境況、狀態-擬事,一般動詞-行為動詞",4299(1),,,,,,,,,,,"1. (形容詞) 瑣碎、雜亂。
2. (動詞) 插手、管閒事。","1. 形容詞
2. 動詞","2. 這是別人的代誌，你莫咧沓滴。 (Tse sī pa̍t-lâng ê tāi-tsì, lí mài teh ta̍p-tih.)",2. 這是別人的事，你不要多管。,2. 4299-2-1,"1. 沓沓滴滴
2. 干涉",,,
4300,主詞目,油漏仔,iû-lāu-á,生活用品,4300(1),,,,,,,,,,,1. (名詞) 倒油進瓶子時，裝在瓶口使油不致溢出的漏斗。,1. 名詞,,,,,,,
4301,主詞目,油蔥,iû-tshang,食物、飲料、煙酒,4301(1),,,,,,,,,,,1. (名詞) 一種作料。用熱油把剁碎的紅蔥頭爆香而成。,1. 名詞,,,,,,,
4302,主詞目,油蔥粿,iû-tshang-kué/iû-tshang-ké,食物、飲料、煙酒,4302(1),,,,,,,,油蔥粿,,,1. (名詞) 加了油蔥一起蒸製的粿類米食。,1. 名詞,,,,,,,
4303,主詞目,欣賞,him-sióng,心理活動,4303(1),,,,,,,,,,,1. (動詞) 以喜愛的眼光領略美好的事物。,1. 動詞,,,,,,,
4304,主詞目,武器,bú-khì,軍事,4304(1),,,,,,,,,,,1. (名詞) 可以殺傷敵人，發揮攻擊力的器械。,1. 名詞,,,,,,,
4305,主詞目,治療,tī-liâu,醫療保健,4305(1),,,,,,,,,,,1. (動詞) 醫治疾病。,1. 動詞,1. 肺癆著愛長期治療。 (Hì-lô tio̍h ài tn̂g-kî tī-liâu.),1. 肺結核要長期治療。,1. 4305-1-1,1. 治/治病/醫治,,,
4306,主詞目,泔糜仔,ám-muê-á/ám-bê-á,食物、飲料、煙酒,4306(1),"[{""漢字"": ""泔糜仔"", ""羅馬字"": ""ám-muâi-á""}]",,,,,,,,,,1. (名詞) 稀飯。指飯粒很稀疏，米湯很多的稀飯。,1. 名詞,,,,,,,
4307,主詞目,油臊,iû-tsho,食物、飲料、煙酒,4307(1),,,,,,,,,,,1. (名詞) 油腥。較為油膩葷腥的食物。,1. 名詞,"1. 伊的胃毋好，較無愛食油臊。 (I ê uī m̄ hó, khah bô ài tsia̍h iû-tsho.)",1. 他的胃不好，比較不喜歡吃油膩葷腥的食物。,1. 4307-1-1,,,,
4308,主詞目,法醫,huat-i,服務業及其他,4308(1),,,,,,,,,,,1. (名詞) 偵查因意外、傷害、殺害的命案，或其他有關法律所需要的專業醫師或醫務人員。,1. 名詞,,,,,,,
4309,主詞目,武藝,bú-gē,體育、運動,4309(1),,,,,,,,,,,1. (名詞) 武功技藝。,1. 名詞,,,,,,,1. 文才
4310,主詞目,疱(替),phā,事、物泛稱,4310(1),,,,,,,,,,,1. (名詞) 內含液體的球狀物。,1. 名詞,"1. 水疱 (tsuí-phā)
2. 膨疱 (phòng-phā)","1. 水泡
2. 起水泡","1. 4310-1-1
2. 4310-1-2",,,,
4311,主詞目,泡,phàu(文),"飲食行為,數詞、量詞",4311(1),,,,,,,,,,,"1. (動詞) 用熱水沖調。
2. (量詞) 計算茶葉沖泡次數的單位。","1. 動詞
2. 量詞","1-1. 泡牛奶 (phàu gû-ling)
1-2. 泡茶 (phàu tê)
2. 茶欲好啉著第二泡。 (Tê beh hó-lim tio̍h tē-jī phàu.)","1-1. 沖泡奶粉
1-2. 泡茶
2. 沖第二次的茶較好喝。","1-1. 4311-1-1
1-2. 4311-1-2
2. 4311-2-1",1. 沖,,,
